,Port_ID,total_trades,total_volume,total_realized_profit,avg_trade_profit,max_single_trade_profit,min_single_trade_profit,win_rate,profit_std_dev,win_positions,loss_positions,long_trades_ratio,short_trades_ratio,roi,sharpe_ratio,mdd,composite_score,rank
96,4020204877254599680,5598,1275869846976.3547,70638.37124428,12.618501472718828,5520.24882013,-1833.67019129,0.3272597356198642,202.94319719337213,1832,920,0.6357627724187209,0.364237227581279,5.536487237446965e-06,348.069667873484,-0.9296458424060654,4.727651835632683,1.0
30,3936410995029308417,19,37533240813.61074,10681.514000000001,562.1849473684211,8037.0024,0.0,0.3157894736842105,1830.7025081916506,6,0,0.8421052631578947,0.15789473684210525,2.845881082596669e-05,5.834653064713989,0.0,1.5870091198105376,2.0
99,4022565861939831809,631,390410894083.67035,13807.949796790002,21.882646270665614,708.61704495,-385.07555369,0.526148969889065,69.819407276914,332,17,0.4231378763866878,0.5768621236133122,3.536773693059593e-06,197.76664304848148,-0.08590110805118006,1.3456707670256551,3.0
50,3960874214179953664,2231,305293129944.00415,19277.53925264,8.640761655150156,855.0,-1079.6384,0.5060510981622591,51.95524303738544,1129,114,0.897355445988346,0.10264455401165397,6.314435983599049e-06,371.04126793841493,-0.11020251395956882,1.0768814575792927,4.0
98,4021669203289716224,1616,249224591061.38293,26438.767141610002,16.360623231194307,8186.25405784,-412.63190906,0.3162128712871287,234.84153423638122,511,362,0.18007425742574257,0.8199257425742574,1.0608410281270459e-05,112.58130818970845,-3.2724126510303813,0.989910040538055,5.0
100,4022641794255717633,6038,623906.859182004,2173.16818573,0.35991523447002316,4.11056666,-3.18341839,0.4354090758529314,0.6442071159957288,2629,495,0.0,1.0,0.3483161234321437,3373.39984574838,-0.16322904841124433,0.9034129915333844,6.0
107,4028701921959171840,591,268649715737.82053,15750.62151397,26.650797823976312,1351.87140065,-101.94562227,0.5008460236886633,96.26027321313829,296,7,0.5820642978003384,0.4179357021996616,5.862884116855451e-06,163.62535642398575,-0.07031386796332052,0.8982480061361798,7.0
51,3962024093501274881,1120,302822090770.49084,8848.38086449,7.900340057580357,1355.57599999,-592.0988988,0.25535714285714284,104.38561344986255,286,322,0.4294642857142857,0.5705357142857143,2.921973374523788e-06,84.76628696290572,-86.96022047279631,0.8144833639718136,8.0
93,4017263283405469185,5879,122685642746.4568,5975.42099233,1.0164009172189148,1988.54248328,-449.93098114,0.3350910018710665,39.23631160932078,1970,1635,0.5240687191699268,0.47593128083007313,4.870513662856914e-06,152.29313733226925,-0.9452681817697328,0.6562581664376457,9.0
62,3986814617275053313,3390,17526660.062423334,15847.596344460002,4.674807181256638,510.00288246,-1.65161759,0.7790560471976401,13.990476127946513,2641,2,0.0,0.0,0.09041994474712728,1132.7417451364518,-0.006969024848371109,0.4958386195492171,10.0
71,3995532094997544704,5584,220013164550.67004,-12568.23794418,-2.2507589441583096,623.7784,-1384.25715885,0.21310888252148996,32.92586214994825,1190,1472,0.0,0.0,-5.712493600029774e-06,-381.71325285098885,-154.36946214546467,0.4181085271543813,11.0
37,3944088772635000577,5811,3481535870.1694345,7471.568978739999,1.2857630319635172,80.589167,-10.96664279,0.4605059370160041,4.259239284632761,2676,123,0.0,0.0,0.00021460554356937827,1754.2026825534904,-0.3865735454671953,0.41428773873168806,12.0
33,3939925275039085824,5833,103936897.42865816,2366.28078491,0.40567131577404425,69.25656251,-35.69731131,0.36259214812274987,1.7893427108848339,2115,205,0.29435967769586835,0.7056403223041317,0.0022766513562079388,1322.4301697576252,-0.055662266541854154,0.4099099401003937,13.0
73,3998572645139652353,247,129754230296.03986,9432.841263499999,38.189640742914975,1218.10303253,-214.71515507,0.3481781376518219,142.61826045472154,86,20,0.2834008097165992,0.7165991902834008,7.269775514816408e-06,66.14048743424927,-0.06069894477129876,0.3771958905317247,14.0
75,3999240873283311617,4369,42308845.58327539,42220.38458333,9.663626592659648,1400.12446925,-160.44960932,0.5209430075532159,42.0729075555077,2276,29,0.0,0.0,0.09979091606323487,1003.5052730222586,-0.008163414949482127,0.37559464738502546,15.0
17,3907081197088384000,3950,46846334.432659715,17057.534111039997,4.318363066086075,268.06477018,-569.61172309,0.6096202531645569,19.71302277723506,2408,60,0.0,0.0,0.03641167301053132,865.2926699165757,-0.1822043961184164,0.32648149560427064,16.0
11,3878631538480067329,2790,2813404796.1829367,3908.2236897500006,1.4007970214157708,120.82771781,-155.85717938,0.5046594982078854,8.968460666007722,1408,442,0.07491039426523298,0.9250896057347671,0.00013891437503243224,435.774190833323,-1.5714649787486226,0.28934500899790605,17.0
34,3941019213896463617,103,47755346801.48395,4342.39401225,42.15916516747573,1545.804,-3269.19444444,0.46601941747572817,448.87662735867167,48,8,0.1262135922330097,0.8737864077669902,9.093000685977773e-06,9.673914273064257,-1.1401602974914984,0.2762084496102194,18.0
97,4021243448368889856,5873,47256846.934625596,1481.96238265,0.2523348174101822,47.88158749,-114.70876667,0.3795334581985357,2.651245447165895,2229,483,0.5496339179295079,0.45036608207049206,0.003135973893264873,558.9683837964437,-0.33623330137402535,0.27367568501360057,19.0
65,3988187872032603905,5105,1675918383.3621395,2641.1758204800003,0.5173703859902058,154.23093906,-62.77953637,0.3288932419196866,5.288816176740893,1679,558,0.09931439764936337,0.9006856023506367,0.00015759573059765668,499.3888485093014,-0.4488817893403292,0.26888510844872954,20.0
